species,stage,growthRate,growthUnit,growthMass,growthMassUnit,growthMassDryWet,growthTempKelvin,growthDataPosition,growthDataOBS,metabolicRate,metabolicUnit,metabolicMass,metabolicMassUnit,metabolicMassDryWet,metabolicTempKelvin,metabolicDataPosition,metabolicDataOBS,reference,,,
Perca fluviatilis,juvenile,0.02698,g_d,3.8,g,wet,288.15,table 3; p 141,used phase I 0.71%; temperature reported for metabolic rates,2.204,mgO2_h,3.8,g,wet,288.15,fig 1; p 141,mass assumed to be 3.8 g;multiplied 0.58 and 3.8. 0.58 is the eye-balled mass-specific rate of the first empty circle on day 1,collvin_l_1984_w18_139,,,
Gadus morhua,larvae,0.005695848,mg_d,0.0868,mg,dry,283.9845,fig 1; p 221,"data thief - only kept those with corresponding mass and temperature in fig 4; growth calculated as instantaneousGrowth(0.0868,0.0545,25.1457,18.0533) - check instantaneousGrowth.R",13.0577,nmolO2_h,0.0868,mg,dry,283.9845,fig 4; p 224,data thief - only kept those with corresponding mass and temperature in fig 1; rowNumber_from_fig4Csv_header_counts: 60,finn_rn_2002_m243_218,,,
Gadus morhua,larvae,0.01915128,mg_d,0.1798,mg,dry,284.0176,fig 1; p 221,"data thief - only kept those with corresponding mass and temperature in fig 4; growth calculated as instantaneousGrowth(0.1798,0.0868,31.9827,25.1457) - check instantaneousGrowth.R",26.1456,nmolO2_h,0.1798,mg,dry,284.0176,fig 4; p 224,data thief - only kept those with corresponding mass and temperature in fig 1; rowNumber_from_fig4Csv_header_counts: 65,finn_rn_2002_m243_218,,,
Gadus morhua,larvae,0.07655994,mg_d,0.5124,mg,dry,287.1668,fig 1; p 221,"data thief - only kept those with corresponding mass and temperature in fig 4; growth calculated as instantaneousGrowth(0.5124,0.1798,38.9918,31.9827) - check instantaneousGrowth.R",82.3733,nmolO2_h,0.5124,mg,dry,287.1668,fig 4; p 224,data thief - only kept those with corresponding mass and temperature in fig 1; rowNumber_from_fig4Csv_header_counts: 26,finn_rn_2002_m243_218,,,
Gadus morhua,larvae,0.2442078,mg_d,1.665,mg,dry,286.9343,fig 1; p 221,"data thief - only kept those with corresponding mass and temperature in fig 4; growth calculated as instantaneousGrowth(1.665,0.5124,47.0266,38.9918) - check instantaneousGrowth.R",259.4995,nmolO2_h,1.665,mg,dry,286.9343,fig 4; p 224,data thief - only kept those with corresponding mass and temperature in fig 1; rowNumber_from_fig4Csv_header_counts: 30,finn_rn_2002_m243_218,,,
Clarias lazera,juvenile,0.002419193,g_d,1.59,g,wet,298.15,table 1; p 4,"For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish; growth calculated as instantaneousGrowth(1.59,1.54,21+1,1) #21 days deltaT",0.359,mlO2_h,1.59,g,wet,298.15,table 1; p 4,For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish,hogendoorn_h_1983_a35_1,,,
Clarias lazera,juvenile,0.069015374,g_d,9.58,g,wet,298.15,table 1; p 4,"For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish; growth calculated as instantaneousGrowth(9.58,7.83,28+1,1) #28 days deltaT",1.4523,mlO2_h,9.58,g,wet,298.15,table 1; p 4,For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish,hogendoorn_h_1983_a35_1,,,
Clarias lazera,juvenile,0.017946132,g_d,50.5,g,wet,298.15,table 1; p 4,"For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish; growth calculated as instantaneousGrowth(50.5,50.0,28+1,1) #28 days deltaT",6.6051,mlO2_h,50.5,g,wet,298.15,table 1; p 4,For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish,hogendoorn_h_1983_a35_1,,,
Clarias lazera,juvenile,0.278875821,g_d,108,g,wet,298.15,table 1; p 4,"For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish; growth calculated as instantaneousGrowth(108 ,96.9,42+1,1) #42 days deltaT",13.568,mlO2_h,108,g,wet,298.15,table 1; p 4,For each one of the Trouvit groups I selected the ones where the feed was 8-25% to the initial weight of the fish,hogendoorn_h_1983_a35_1,,,
Anchoa mitchilli,larvae,3.689726,ug_d,8.9,ug,dry,299.15,table 3; p 288,see R file to see how growth data were calculated,0.07,ulO2_h,8.9,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Anchoa mitchilli,larvae,12.910395,ug_d,31.3,ug,dry,299.15,table 3; p 288,see R file to see how growth data were calculated,0.24,ulO2_h,31.3,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Anchoa mitchilli,larvae,40.572402,ug_d,98.5,ug,dry,299.15,table 3; p 288,see R file to see how growth data were calculated,0.57,ulO2_h,98.5,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Anchoa mitchilli,larvae,174.724904,ug_d,424.4,ug,dry,299.15,table 3; p 288,see R file to see how growth data were calculated,3.62,ulO2_h,424.4,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Archosargus rhomboidalis,larvae,9.021075,ug_d,18.1,ug,dry,299.15,table 4; p 288,see R file to see how growth data were calculated,0.18,ulO2_h,18.1,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Archosargus rhomboidalis,larvae,20.931238,ug_d,41.9,ug,dry,299.15,table 4; p 288,see R file to see how growth data were calculated,0.44,ulO2_h,41.9,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Archosargus rhomboidalis,larvae,33.091616,ug_d,66.2,ug,dry,299.15,table 4; p 288,see R file to see how growth data were calculated,0.62,ulO2_h,66.2,ug,dry,299.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Achirus lineatus,larvae,5.454021,ug_d,14.3,ug,dry,301.15,table 5; p 288,see R file to see how growth data were calculated,0.13,ulO2_h,14.3,ug,dry,301.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Achirus lineatus,larvae,6.922633,ug_d,18.1,ug,dry,301.15,table 5; p 288,see R file to see how growth data were calculated,0.36,ulO2_h,18.1,ug,dry,301.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Achirus lineatus,larvae,8.855018,ug_d,23.1,ug,dry,301.15,table 5; p 288,see R file to see how growth data were calculated,0.33,ulO2_h,23.1,ug,dry,301.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Achirus lineatus,larvae,19.019359,ug_d,49.4,ug,dry,301.15,table 5; p 288,see R file to see how growth data were calculated,0.66,ulO2_h,49.4,ug,dry,301.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Achirus lineatus,larvae,24.468683,ug_d,63.5,ug,dry,301.15,table 5; p 288,see R file to see how growth data were calculated,1.04,ulO2_h,63.5,ug,dry,301.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Achirus lineatus,larvae,95.928256,ug_d,248.4,ug,dry,301.15,table 5; p 288,see R file to see how growth data were calculated,1.53,ulO2_h,248.4,ug,dry,301.15,table 2; p 287,,houde_ed_1983_m72_283,,,
Clupea harengus,larvae,0.02698902,mg_d,0.131,mg,dry,281.15,fig 1; p 199,"growth calcluated from group 1 using growth data between the points that overlap mass at which metabolic rate was measured: instantaneousGrowth(0.1376, 0.1125, 14.0525, 13.0257) - see instantaneousGrowth.R; actual growth rate mass is 0.1376, but here it is assumed to be the same as for metabolic rates",10.5062,nmolO2_h,0.131,mg,dry,281.15,table 5; p 203,transformed to nmolO2_h by multiplying 80.2*0.131,houlihan_df_1995_f14_195,,,
Gadus morhua,larvae,-1.07874872,ug_d,48.50651,ug,dry,277.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(48.50651,56.50671,10.9371,4.0726); see instantaneousGrowth.R",1.4226563,ulO2_h,48.50651,ug,dry,277.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,1.20627011,ug_d,57.42487,ug,dry,277.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(57.42487,48.50651,18.9719,10.9371); see instantaneousGrowth.R",0.2091703,ulO2_h,57.42487,ug,dry,277.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,1.45628688,ug_d,65.59942,ug,dry,277.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(65.59942,57.42487,24.967,18.9719); see instantaneousGrowth.R",0.8999119,ulO2_h,65.59942,ug,dry,277.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,13.29248071,ug_d,141.25375,ug,dry,277.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(141.25375,65.59942,33.1175,24.967); see instantaneousGrowth.R",0.6472916,ulO2_h,141.25375,ug,dry,277.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,17.49002748,ug_d,249.22982,ug,dry,277.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(249.22982,141.25375,41.2088,33.1175); see instantaneousGrowth.R",0.7837905,ulO2_h,249.22982,ug,dry,277.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
