hour    , mgO2_kg_h , figLetter , temp_kelvin
3.5077  , 39.5085   , c         , 283.15
6.3262  , 59.0259   , c         , 283.15
9.3178  , 157.8739  , c         , 283.15
12.134  , 208.4994  , c         , 283.15
15.0463 , 169.6913  , c         , 283.15
18.0036 , 129.329   , c         , 283.15
20.9607 , 88.9667   , c         , 283.15
23.962  , 59.4935   , c         , 283.15
28.9253 , 128.0632  , d         , 289.15
31.8344 , 132.8065  , d         , 289.15
34.7393 , 192.7669  , d         , 289.15
37.5573 , 220.0613  , d         , 289.15
40.6021 , 206.921   , d         , 289.15
43.5147 , 164.2245  , d         , 289.15
46.4259 , 140.9705  , d         , 289.15
49.3811 , 127.8277  , d         , 289.15
