hour    , mgO2_kg_h , figLetter , temp_kelvin
3.4957  , 74.851    , e         , 283.15
6.3883  , 99.5994   , e         , 283.15
9.4208  , 125.8037  , e         , 283.15
12.2648 , 141.8094  , e         , 283.15
15.2003 , 151.2568  , e         , 283.15
18.1238 , 108.974   , e         , 283.15
21.0955 , 73.9767   , e         , 283.15
24.0287 , 73.2238   , e         , 283.15
29.9489 , 103.0473  , f         , 289.15
32.932  , 116.8659  , f         , 289.15
35.8733 , 151.0857  , f         , 289.15
38.7648 , 171.4625  , f         , 289.15
41.6507 , 167.7955  , f         , 289.15
44.62   , 122.5979  , f         , 289.15
47.5522 , 117.4735  , f         , 289.15
50.4827 , 105.0631  , f         , 289.15

