days    , dry_mass_ug , temp_kelvin
13.9318 , 10.1074     , 275.15
20.6871 , 11.1916     , 275.15
28.1253 , 18.1541     , 275.15
34.5958 , 28.3057     , 275.15
7.0269  , 10.1237     , 278.15
21.4324 , 29.545      , 278.15
27.9257 , 57.1085     , 278.15
35.2303 , 119.5085    , 278.15
42.1834 , 187.8043    , 278.15
49.734  , 193.5389    , 278.15
56.758  , 593.4673    , 278.15
63.3494 , 636.5577    , 278.15
77.3696 , 1014.7132   , 278.15
5.4303  , 11.054      , 281.15
13.8548 , 22.224      , 281.15
21.0638 , 85.8351     , 281.15
28.3811 , 202.398     , 281.15
35.204  , 423.597     , 281.15
42.3235 , 703.7799    , 281.15
49.4625 , 1404.1507   , 281.15
