days    , log10_dry_mass_ug , temp_celsius , temp_kelvin , dry_mass_ug , ulO2_h     , growth_ug_d  , obs
10.9371 , 1.6858            , 4            , 277.15      , 48.50651    , 1.4226563  , -1.07874872  , "instantaneousGrowth(48.50651   , 56.50671  , 10.9371 , 4.0726)"
18.9719 , 1.7591            , 4            , 277.15      , 57.42487    , 0.2091703  , 1.20627011   , "instantaneousGrowth(57.42487   , 48.50651  , 18.9719 , 10.9371)"
24.967  , 1.8169            , 4            , 277.15      , 65.59942    , 0.8999119  , 1.45628688   , "instantaneousGrowth(65.59942   , 57.42487  , 24.967  , 18.9719)"
33.1175 , 2.15              , 4            , 277.15      , 141.25375   , 0.6472916  , 13.29248071  , "instantaneousGrowth(141.25375  , 65.59942  , 33.1175 , 24.967)"
41.2088 , 2.3966            , 4            , 277.15      , 249.22982   , 0.7837905  , 17.49002748  , "instantaneousGrowth(249.22982  , 141.25375 , 41.2088 , 33.1175)"
10.1327 , 1.7082            , 7            , 280.15      , 51.07402    , 0.9442783  , 0.08544062   , "instantaneousGrowth(51.07402   , 50.45451  , 10.1327 , 2.8376)"
16.9322 , 1.7436            , 7            , 280.15      , 55.41151    , 0.2566256  , 0.66426483   , "instantaneousGrowth(55.41151   , 51.07402  , 16.9322 , 10.1327)"
24.0361 , 1.9334            , 7            , 280.15      , 85.78276    , 0.4392381  , 5.27734081   , "instantaneousGrowth(85.78276   , 55.41151  , 24.0361 , 16.9322)"
31.0138 , 2.2023            , 7            , 280.15      , 159.3309    , 1.0382454  , 14.13820248  , "instantaneousGrowth(159.3309   , 85.78276  , 31.0138 , 24.0361)"
38.055  , 2.4222            , 7            , 280.15      , 264.36259   , 0.5819692  , 19.01052951  , "instantaneousGrowth(264.36259  , 159.3309  , 38.055  , 31.0138)"
46.2055 , 2.7516            , 7            , 280.15      , 564.41689   , 4.1276228  , 52.52366680  , "instantaneousGrowth(564.41689  , 264.36259 , 46.2055 , 38.055)"
52.1916 , 3.1031            , 7            , 280.15      , 1267.94379  , 6.7779756  , 171.43403650 , "instantaneousGrowth(1267.94379 , 564.41689 , 52.1916 , 46.2055)"
8.7746  , 1.6401            , 10           , 283.15      , 43.66164    , 0.5720052  , -1.52289610  , "instantaneousGrowth(43.66164   , 55.47534  , 8.7746  , 1.909)"
16.9915 , 1.8264            , 10           , 283.15      , 67.05019    , 0.3551403  , 3.50042262   , "instantaneousGrowth(67.05019   , 43.66164  , 16.9915 , 8.7746)"
23.1067 , 1.9971            , 10           , 283.15      , 99.33447    , 2.9532486  , 6.38466974   , "instantaneousGrowth(99.33447   , 67.05019  , 23.1067 , 16.9915)"
30.1404 , 2.4581            , 10           , 283.15      , 287.14417   , 3.1688377  , 43.33440111  , "instantaneousGrowth(287.14417  , 99.33447  , 30.1404 , 23.1067)"
37.1799 , 2.7308            , 10           , 283.15      , 538.02196   , 3.3281278  , 47.99091324  , "instantaneousGrowth(538.02196  , 287.14417 , 37.1799 , 30.1404)"
44.2715 , 3.316             , 10           , 283.15      , 2070.14135  , 13.6772883 , 393.34693782 , "instantaneousGrowth(2070.14135 , 538.02196 , 44.2715 , 37.1799)"
