days,log10_dry_mass_ug,temp_celsius,dry_mass_ug
0.9668,1.8411,4,69.358549
7.9517,1.7325,4,54.013211
14.9149,1.906,4,80.537844
22.0285,2.1097,4,128.735997
28.8971,2.1891,4,154.561029
35.9664,2.3062,4,202.395103
2.0475,1.6951,7,49.556429
8.9588,1.8798,7,75.822832
15.9779,1.9893,7,97.566337
22.948,2.0726,7,118.195244
29.8142,2.1821,7,152.089769
36.904,2.6979,7,498.769628
2.1007,1.665,9,46.238102
8.9543,1.94,9,87.096359
15.9581,2.2489,9,177.378101
22.9481,2.7382,9,547.267931
29.934,3.2803,9,1906.777418
