days    , log10_dry_mass_ug , temp_celsius , temp_kelvin , dry_mass_ug , ulO2_h     , growth_ug_d , obs
7.9517  , 1.7325            , 4            , 277.15      , 54.013211   , 0.5302736  , -1.933683   , "instantaneousGrowth(54.013211   , 69.358549  , 7.9517  , 0.9668)"
14.9149 , 1.906             , 4            , 277.15      , 80.537844   , 1.3605046  , 4.620684    , "instantaneousGrowth(80.537844   , 54.013211  , 14.9149 , 7.9517)"
22.0285 , 2.1097            , 4            , 277.15      , 128.735997  , 3.6207622  , 8.488233    , "instantaneousGrowth(128.735997  , 80.537844  , 22.0285 , 14.9149)"
28.8971 , 2.1891            , 4            , 277.15      , 154.561029  , 2.5107299  , 4.114035    , "instantaneousGrowth(154.561029  , 128.735997 , 28.8971 , 22.0285)"
35.9664 , 2.3062            , 4            , 277.15      , 202.395103  , 4.1524078  , 7.719624    , "instantaneousGrowth(202.395103  , 154.561029 , 35.9664 , 28.8971)"
8.9588  , 1.8798            , 7            , 280.15      , 75.822832   , 1.5674728  , 4.665765    , "instantaneousGrowth(75.822832   , 49.556429  , 8.9588  , 2.0475)"
15.9779 , 1.9893            , 7            , 280.15      , 97.566337   , 1.2723307  , 3.504680    , "instantaneousGrowth(97.566337   , 75.822832  , 15.9779 , 8.9588)"
22.948  , 2.0726            , 7            , 280.15      , 118.195244  , 1.4494392  , 3.252533    , "instantaneousGrowth(118.195244  , 97.566337  , 22.948  , 15.9779)"
29.8142 , 2.1821            , 7            , 280.15      , 152.089769  , 3.2329575  , 5.584874    , "instantaneousGrowth(152.089769  , 118.195244 , 29.8142 , 22.948)"
36.904  , 2.6979            , 7            , 280.15      , 498.769628  , 3.0345898  , 83.553191   , "instantaneousGrowth(498.769628  , 152.089769 , 36.904  , 29.8142)"
8.9543  , 1.94              , 9            , 282.15      , 87.096359   , 1.2735031  , 8.046919    , "instantaneousGrowth(87.096359   , 46.238102  , 8.9543  , 2.1007)"
15.9581 , 2.2489            , 9            , 282.15      , 177.378101  , 4.1552772  , 18.013573   , "instantaneousGrowth(177.378101  , 87.096359  , 15.9581 , 8.9543)"
22.9481 , 2.7382            , 9            , 282.15      , 547.267931  , 7.1055876  , 88.209168   , "instantaneousGrowth(547.267931  , 177.378101 , 22.9481 , 15.9581)"
29.934  , 3.2803            , 9            , 282.15      , 1906.777418 , 11.7869109 , 340.700469  , "instantaneousGrowth(1906.777418 , 547.267931 , 29.934  , 22.9481)"
