log10_dry_mass_ug , log10_ulO2_h , temp_celsius , ulO2_h
1.8349            , -0.3574      , 4            , 0.4391370
1.7311            , -0.2755      , 4            , 0.5302736
1.8906            , 0.1337       , 4            , 1.3605046
2.0917            , 0.5588       , 4            , 3.6207622
2.1992            , 0.3998       , 4            , 2.5107299
2.3081            , 0.6183       , 4            , 4.1524078
1.6932            , -0.454       , 7            , 0.3515604
1.877             , -0.1952      , 7            , 1.5674728
1.9903            , 0.1046       , 7            , 1.2723307
2.0404            , 0.1612       , 7            , 1.4494392
2.1663            , 0.5096       , 7            , 3.2329575
2.6819            , 0.4821       , 7            , 3.0345898
1.6692            , -0.1696      , 9            , 0.6767060
1.9279            , 0.105        , 9            , 1.2735031
2.2748            , 0.6186       , 9            , 4.1552772
2.6998            , 0.8516       , 9            , 7.1055876
3.2826            , 1.0714       , 9            , 11.7869109
