wet_mass_g , temp_kelvin , growth_g_d , mgO2_h
8          , 291.15      , 0.06       , 0.9
8          , 298.15      , 0.07       , 1
8          , 303.15      , 0.08       , 1.2
50         , 291.15      , 0.31       , 4.3
50         , 298.15      , 0.37       , 4.3
50         , 303.15      , 0.47       , 6.5
100        , 291.15      , 0.55       , 7.6
100        , 298.15      , 0.59       , 8.5
100        , 303.15      , 1.07       , 15.5
150        , 291.15      , 0.68       , 9.3
150        , 298.15      , 0.69       , 10
150        , 303.15      , 1.39       , 20.1
