days,mass_mg,temp_celsius
13.8413,3.6535,12.5
18.8668,14.7035,12.5
24.2676,25.7564,12.5
29.8013,41.2893,12.5
35.1634,55.5145,12.5
37.4296,69.7156,12.5
40.2341,93.6255,12.5
43.0761,129.8528,12.5
47.3288,150.4147,12.5
51.7807,208.4897,12.5
56.5151,281.8702,12.5
60.7299,282.4628,12.5
64.9339,291.6402,12.5
67.3935,289.9797,12.5
70.5351,324.7164,12.5
74.2083,300.4837,12.5
74.222,299.3641,12.5
80.4342,297.7328,12.5
84.9436,289.5563,12.5
18.1476,4.4335,10.2
21.9394,8.942,10.2
29.7361,23.5594,10.2
35.4024,35.9207,10.2
39.5358,50.8829,10.2
44.5408,63.6122,10.2
50.3423,80.267,10.2
57.0598,106.4468,10.2
61.1441,140.8176,10.2
63.5867,194.398,10.2
67.8189,216.6393,10.2
71.1004,255.2963,10.2
78.9893,316.1974,10.2
86.5108,391.8391,10.2
93.6591,428.8465,10.2
100.3397,381.1224,10.2
108.0624,347.9632,10.2
28.475,19.2572,10
38.4391,40.7966,10
45.0321,54.0982,10
48.6891,61.9649,10
51.7144,67.7738,10
54.7516,80.3013,10
57.2082,101.9689,10
64.5373,139.5375,10
70.1396,187.9171,10
85.1555,310.6465,10
98.1867,419.1772,10
108.3277,418.5095,10
122.5462,345.0898,10
129.2797,300.7252,10
23.8817,3.545,7.3
31.1492,7.7072,7.3
38.4029,12.9891,7.3
45.3963,24.241,7.3
53.6665,38.4889,7.3
59.1771,48.2362,7.3
66.9073,60.6136,7.3
73.6219,79.3283,7.3
79.486,106.2479,7.3
86.9485,155.9483,7.3
94.2099,206.7668,7.3
101.532,206.4505,7.3
114.5546,323.3791,7.3
121.0072,394.3469,7.3
128.7924,479.1352,7.3
136.3906,502.3359,7.3
143.036,511.3455,7.3
150.2149,491.9923,7.3
158.8191,432.7124,7.3
170.3136,413.3928,7.3
21.4516,2.7795,5
36.2833,2.1484,5
45.2168,8.1899,5
50.6671,7.4857,5
73.0606,33.0409,5
86.3104,54.4192,5
80.3008,39.4425,5
92.9058,67.5343,5
103.281,78.4392,5
112.7974,113.5987,5
118.0757,142.3801,5
128.4529,183.8915,5
147.6444,302.7344,5
167.7475,362.2375,5
188.7826,468.4042,5
211.5185,481.2715,5
224.0659,467.9321,5
