days,ug_o2_h,temp_celsius
18.1923, 4.2468,12.5
23.6784, 7.878,12.5
28.7208, 10.4362,12.5
35.443, 13.8982,12.5
37.008, 21.4298,12.5
40.0327, 24.7829,12.5
42.8427, 49.4035,12.5
45.83, 54.9144,12.5
50.2593, 75.0466,12.5
55.5112, 109.9617,12.5
59.3336, 138.4223,12.5
63.8761, 143.1437,12.5
66.6459, 143.4181,12.5
69.7044, 127.0469,12.5
73.8396, 137.4748,12.5
77.3721, 111.5441,12.5
79.7452, 90.2503,12.5
84.3731, 90.0398,12.5
29.2742, 5.1902,10.2
34.3031, 8.5189,10.2
38.883, 11.0826,10.2
43.4548, 14.1087,10.2
49.5362, 18.9655,10.2
55.2604, 35.5377,10.2
59.3314, 49.6646,10.2
62.3668, 52.4013,10.2
66.0742, 60.8312,10.2
69.9197, 70.184,10.2
77.3712, 120.4815,10.2
85.1897, 140.7264,10.2
98.3961, 134.7098,10.2
15.5766, 3.9705,10
27.2752, 4.9064,10
37.6656, 10.1729,10
44.7283, 11.7818,10
47.9339, 13.5918,10
50.3766, 14.9489,10
55.4466, 33.6864,10
63.25, 45.9186,10
68.4216, 58.7993,10
83.3216, 132.8904,10
96.9489, 147.0549,10
110.2792, 125.011,10
121.5194, 81.2656,10
22.5573, 1.4198,7.3
31.1724, 2.3934,7.3
37.9374, 3.3895,7.3
44.2131, 5.9325,7.3
51.4353, 7.2313,7.3
57.2485, 9.78,7.3
66.1586, 11.5204,7.3
72.8675, 15.753,7.3
78.9454, 29.7015,7.3
86.8824, 34.2274,7.3
93.2019, 52.0251,7.3
101.1032, 67.4922,7.3
110.8672, 91.1034,7.3
120.5135, 121.4961,7.3
127.0398, 145.1469,7.3
134.9562, 141.9684,7.3
140.4282, 155.3078,7.3
150.1544, 127.7606,7.3
35.3458, 1.7261,5
44.2719, 2.5417,5
48.4426, 2.0286,5
64.2826, 4.1468,5
72.4272, 5.5884,5
79.2029, 5.968,5
85.6649, 6.6596,5
92.5546, 9.3493,5
103.2961, 12.146,5
112.7187, 19.8898,5
117.2584, 24.7654,5
127.4224, 34.1952,5
146.698, 51.5266,5
167.5232, 68.3769,5
188.4298, 98.3241,5
210.8815, 92.5029,5
223.6949, 82.4846,5
