days_tab1 , wet_mass_100embryos_g , wet_mass_g , temp_kelvin , growth_g_d   , days_tab2 , cc02_g_h, mgO2_h    ,obs_metabolism                                                                         ,obs_growth
59        , 2.013                 , 0.02013    , 285.13      , 0.0012042537 , 59        , 0.67    , 0.01954847,"metabolic rates calculated as 0.67  cc/g/h * 0.02013 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.02013 , 0.01786 , 59  , 57 )"
68        , 4.336                 , 0.04336    , 285.13      , 0.0036968067 , 68        , 0.66    , 0.04147892,"metabolic rates calculated as 0.66  cc/g/h * 0.04336 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.04336 , 0.02013 , 68  , 59 )"
71        , 5.703                 , 0.05703    , 285.13      , 0.0052095021 , 72        , 0.61    , 0.05042286,"metabolic rates calculated as 0.61  cc/g/h * 0.05703 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.05703 , 0.04336 , 71  , 68 )"
73        , 6.636                 , 0.06636    , 285.13      , 0.0050273347 , 73        , 0.54    , 0.05193910,"metabolic rates calculated as 0.54  cc/g/h * 0.06636 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.06636 , 0.05703 , 73  , 71 )"
75        , 7.262                 , 0.07262    , 285.13      , 0.0032731977 , 74        , 0.54    , 0.05683872,"metabolic rates calculated as 0.54  cc/g/h * 0.07262 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.07262 , 0.06636 , 75  , 73 )"
78        , 9.106                 , 0.09106    , 285.13      , 0.0068682996 , 78        , 0.45    , 0.05939288,"metabolic rates calculated as 0.45  cc/g/h * 0.09106 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.09106 , 0.07262 , 78  , 75 )"
83        , 11.130                , 0.11130    , 285.13      , 0.0044678186 , 83        , 0.40    , 0.06452818,"metabolic rates calculated as 0.40  cc/g/h * 0.11130 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.11130 , 0.09106 , 83  , 78 )"
90        , 6.329                 , 0.06329    , 280.13      , 0.0015842284 , 90        , 0.315   , 0.02889614,"metabolic rates calculated as 0.315 cc/g/h * 0.06329 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.06329 , 0.05726 , 90  , 86 )"
93        , 7.100                 , 0.07100    , 280.13      , 0.0027205434 , 93        , 0.315   , 0.03241628,"metabolic rates calculated as 0.315 cc/g/h * 0.07100 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.07100 , 0.06329 , 93  , 90 )"
94        , 7.224                 , 0.07224    , 280.13      , 0.0012507657 , 94        , 0.315   , 0.03298242,"metabolic rates calculated as 0.315 cc/g/h * 0.07224 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.07224 , 0.07100 , 94  , 93 )"
105       , 9.562                 , 0.09562    , 280.13      , 0.0024373372 , 106       , 0.19    , 0.02633277,"metabolic rates calculated as 0.19  cc/g/h * 0.09562 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.09562 , 0.07224 , 105 , 94 )"
114       , 11.233                , 0.11233    , 280.13      , 0.0020101948 , 112       , 0.14    , 0.02279387,"metabolic rates calculated as 0.14  cc/g/h * 0.11233 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.11233 , 0.09562 , 114 , 105)"
106       , 5.184                 , 0.05184    , 276.13      , 0.0003980590 , 102       , 0.22    , 0.01653035,"metabolic rates calculated as 0.22  cc/g/h * 0.05184 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.05184 , 0.04446 , 106 , 86 )"
120       , 6.482                 , 0.06482    , 276.13      , 0.0010345834 , 121       , 0.22    , 0.02066931,"metabolic rates calculated as 0.22  cc/g/h * 0.06482 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.06482 , 0.05184 , 120 , 106)"
128       , 6.856                 , 0.06856    , 276.13      , 0.0004807348 , 128       , 0.22    , 0.02186189,"metabolic rates calculated as 0.22  cc/g/h * 0.06856 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.06856 , 0.06482 , 128 , 120)"
140       , 7.928                 , 0.07928    , 276.13      , 0.0009597942 , 148       , 0.16    , 0.01838560,"metabolic rates calculated as 0.16  cc/g/h * 0.07928 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.07928 , 0.06856 , 140 , 128)"
164       , 9.460                 , 0.09460    , 276.13      , 0.0006963805 , 164       , 0.13    , 0.01782497,"metabolic rates calculated as 0.13  cc/g/h * 0.09460 g * 4.9 cal/cc * 0.2958 mgO2/cal","growth calculated as instantaneousGrowth(0.09460 , 0.07928 , 164 , 140)"
