days , wet_mass_100embryos_g , temp_kelvin
57   , 1.786                 , 285.13
59   , 2.013                 , 285.13
68   , 4.336                 , 285.13
71   , 5.703                 , 285.13
73   , 6.636                 , 285.13
75   , 7.262                 , 285.13
78   , 9.106                 , 285.13
83   , 11.130                , 285.13
57   , 1.786                 , 280.13
77   , 3.882                 , 280.13
86   , 5.726                 , 280.13
90   , 6.329                 , 280.13
93   , 7.100                 , 280.13
94   , 7.224                 , 280.13
105  , 9.562                 , 280.13
114  , 11.233                , 280.13
57   , 1.786                 , 276.13
86   , 4.446                 , 276.13
106  , 5.184                 , 276.13
120  , 6.482                 , 276.13
128  , 6.856                 , 276.13
140  , 7.928                 , 276.13
157  , 8.865                 , 276.13
164  , 9.460                 , 276.13
