days , cc02_g_h , temp_kelvin
57   , 0.61     , 285.15
59   , 0.67     , 285.15
63   , 0.69     , 285.15
65   , 0.64     , 285.15
67   , 0.64     , 285.15
70   , 0.58     , 285.15
72   , 0.61     , 285.15
73   , 0.54     , 285.15
74   , 0.54     , 285.15
78   , 0.45     , 285.15
83   , 0.40     , 285.15
62   , 0.63     , 285.15
66   , 0.66     , 285.15
67   , 0.63     , 285.15
68   , 0.66     , 285.15
73   , 0.57     , 285.15
82   , 0.43     , 285.15
63   , 0.315    , 280.15
69   , 0.315    , 280.15
90   , 0.315    , 280.15
93   , 0.315    , 280.15
94   , 0.315    , 280.15
98   , 0.27     , 280.15
100  , 0.24     , 280.15
106  , 0.19     , 280.15
112  , 0.14     , 280.15
64   , 0.20     , 276.15
69   , 0.23     , 276.15
73   , 0.22     , 276.15
93   , 0.22     , 276.15
95   , 0.22     , 276.15
102  , 0.22     , 276.15
121  , 0.22     , 276.15
128  , 0.22     , 276.15
132  , 0.21     , 276.15
148  , 0.16     , 276.15
164  , 0.13     , 276.15
