"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
15.8,"NG",0.3,NA,NA,NA,NA,NA,1.87,"Russia","Amur River","No","No","Abbottina rivularis","Cyprinidae","scale annual rings"
123,"FL",0.605,NA,NA,NA,27,NA,3.96,"India","Tuticorin, Gulf of Mannar","No","No","Ablennes hians","Belonidae","length-frequencies"
34.9,"SL",0.123,-0.21,"",NA,9,NA,2.18,"China","Irtysh River (47°96'~48°07'N; 5°51'~85°62'E)","No","No","Abramis brama","Cyprinidae","annuli on many otoliths"
37.8,"SL",0.145,-0.51,"",NA,NA,NA,2.32,"Hungary","Lake Balaton, northeast","No","No","Abramis brama","Cyprinidae","scale annual rings"
42,"TL",0.233,NA,"",0.17,8,NA,2.61,"Russia","Northern Caspian","No","No","Abramis brama","Cyprinidae","&nbsp"
44.6,"SL",0.175,0.23,"",NA,NA,NA,2.54,"Poland","Lake D?bie","No","No","Abramis brama","Cyprinidae","&nbsp"
45.2,"FL",0.102,-0.35,"M",NA,NA,NA,2.32,"Greece","Lake Volvi (1989-1991)","No","No","Abramis brama","Cyprinidae","scale annual rings"
45.9,"SL",0.12,-0.56,"",NA,NA,NA,2.4,"Hungary","Lake Balaton, northeast","No","No","Abramis brama","Cyprinidae","scale annual rings"
46.8,"TL",0.278,NA,"",NA,NA,NA,2.78,"Russia","Azov Sea (brackish)","No","No","Abramis brama","Cyprinidae","&nbsp"
49,"TL",0.15,NA,"",NA,NA,NA,2.56,"Romania","Matita-Merhei, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
49.2,"SL",0.132,-0.14,"",NA,NA,NA,2.5,"Czechia","Berounka river","No","No","Abramis brama","Cyprinidae","scale annual rings"
50.1,"SL",0.083,0.23,"",NA,NA,NA,2.32,"Hungary","Lake Balaton","No","No","Abramis brama","Cyprinidae","scale annual rings"
50.3,"TL",0.18,NA,"",NA,NA,NA,2.66,"Romania","Fortuna, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
50.7,"FL",0.094,-0.41,"F",NA,NA,NA,2.38,"Greece","Lake Volvi (1989-1991)","No","No","Abramis brama","Cyprinidae","scale annual rings"
51.5,"OT",0.108,0.06,"",NA,NA,NA,2.46,"Poland","River Regalica","No","No","Abramis brama","Cyprinidae","scale annual rings"
51.9,"TL",0.153,NA,"",NA,6.6,NA,2.62,"Kazakhstan","Aral Lake","No","No","Abramis brama","Cyprinidae","&nbsp"
52.4,"TL",0.429,NA,"",NA,7.8,NA,3.07,"Russia","Ural River Delta","Yes","No","Abramis brama","Cyprinidae","&nbsp"
52.6,"TL",0.18,NA,"",NA,NA,NA,2.7,"Romania","Gorgova, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
53.6,"TL",0.22,NA,"",NA,NA,NA,2.8,"Romania","Trei lezere, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
54.1,"TL",0.241,NA,"",NA,6.6,NA,2.85,"Kazakhstan","Aral Lake","No","No","Abramis brama","Cyprinidae","&nbsp"
54.1,"SL",0.136,0.2,"",NA,NA,NA,2.6,"Poland","Szczecin Lagoon","No","No","Abramis brama","Cyprinidae","&nbsp"
54.3,"TL",0.19,NA,"",NA,NA,NA,2.75,"Romania","Uzlina, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
54.4,"",0.113,0.03,"",NA,NA,NA,2.52,"Poland","Lake Dabie","No","No","Abramis brama","Cyprinidae","scale annual rings"
54.6,"TL",0.257,NA,"",NA,NA,NA,2.88,"Russia","Caspian (brackish waters)","No","No","Abramis brama","Cyprinidae","&nbsp"
54.6,"SL",0.185,0.02,"",NA,NA,NA,2.74,"Poland","W?oc?awek Reservoir","No","No","Abramis brama","Cyprinidae","&nbsp"
55.6,"TL",0.17,NA,"",NA,NA,NA,2.72,"Romania","Isacova, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
56.3,"TL",0.19,NA,"",NA,NA,NA,2.78,"Romania","Puiu-Rosu, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
56.6,"SL",0.122,-0.13,"",NA,NA,NA,2.59,"China","Lake Ulungur","No","No","Abramis brama","Cyprinidae","scale annual rings"
57.7,"TL",0.287,NA,"",NA,NA,NA,2.98,"Russia","Azov Sea (brackish)","No","No","Abramis brama","Cyprinidae","&nbsp"
57.7,"SL",0.087,0.89,"",NA,NA,NA,2.46,"Croatia","Danube (near mouth of Drava R.)","Yes","No","Abramis brama","Cyprinidae","scale annual rings"
59.1,"FL",0.1,-0.65,"",NA,NA,NA,2.54,"Russia","Ladoga Lake","No","No","Abramis brama","Cyprinidae","scale annual rings"
61.8,"TL",0.065,NA,"",NA,8.3,NA,2.39,"Germany","Mnggelsee (Berlin)","No","No","Abramis brama","Cyprinidae","&nbsp"
63.9,"TL",0.13,NA,"",NA,NA,NA,2.72,"Romania","Sinoe, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
64.5,"TL",0.14,NA,"",NA,NA,NA,2.77,"Romania","Razim, Danube delta","No","No","Abramis brama","Cyprinidae","&nbsp"
65.5,"TL",0.191,NA,"",NA,7,NA,2.91,"Russia","Middle Course of Dnepr River","No","No","Abramis brama","Cyprinidae","&nbsp"
65.7,"SL",0.085,0.05,"",NA,NA,NA,2.56,"Lithuania","Lake Rubikiai (55°30'0'' N, 25°18'0'' E)","No","No","Abramis brama","Cyprinidae","scale annual rings"
68.6,"TL",0.131,NA,"",NA,9,NA,2.79,"Sweden","Lake Havgardsj÷n","No","No","Abramis brama","Cyprinidae","&nbsp"
70.1,"TL",0.058,NA,"",NA,9,NA,2.45,"Finland","Hommanßs-Pellige (brackish)","No","No","Abramis brama","Cyprinidae","&nbsp"
70.9,"TL",0.18,NA,"",NA,NA,NA,2.96,"Romania","Baclanesti, Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
71.6,"TL",0.075,NA,"",NA,9,NA,2.58,"Poland","Vistula Firth, Baltic (brackish)","No","No","Abramis brama","Cyprinidae","&nbsp"
71.6,"TL",0.109,NA,"",NA,NA,NA,2.75,"Serbia","Danube River, near Medvedovo","No","No","Abramis brama","Cyprinidae","&nbsp"
71.6,"SL",0.076,0.58,"",NA,NA,NA,2.59,"Lithuania","Curonian Lagoon","No","No","Abramis brama","Cyprinidae","&nbsp"
72.9,"TL",0.119,NA,"",NA,4.7,NA,2.8,"","Pskov Reservoir","No","No","Abramis brama","Cyprinidae","&nbsp"
73,"TL",0.191,NA,"",NA,9.8,NA,3.01,"Russia","Dnepr River Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
74.5,"TL",0.091,NA,"",NA,NA,NA,2.7,"Germany","Arkona, Baltic (brackish)","No","No","Abramis brama","Cyprinidae","&nbsp"
74.7,"TL",0.165,NA,"",NA,10.8,NA,2.96,"Romania","Danube Delta","No","No","Abramis brama","Cyprinidae","&nbsp"
77.2,"TL",0.058,NA,"",NA,5.4,NA,2.54,"Sweden","Lake Hjälmaren","No","No","Abramis brama","Cyprinidae","&nbsp"
84.2,"TL",0.11,NA,"",NA,8.6,NA,2.89,"Germany","Bodensee (Lake Constance)","No","No","Abramis brama","Cyprinidae","&nbsp"
86.1,"TL",0.068,NA,"",NA,2.9,NA,2.7,"","Rybinsk Reservoir","No","No","Abramis brama","Cyprinidae","&nbsp"
86.4,"TL",0.093,NA,"",NA,3.3,NA,2.84,"","Ilmen Lake","No","No","Abramis brama","Cyprinidae","&nbsp"
90,"TL",0.076,NA,"",NA,3.3,NA,2.79,"","Lake Ladoga","No","No","Abramis brama","Cyprinidae","&nbsp"
91.4,"TL",0.085,NA,"",NA,NA,NA,2.85,"Poland","Lake Znin Duzy","No","No","Abramis brama","Cyprinidae","&nbsp"
