"species","habitat"
"Abbottina rivularis","freshwater"
"Ablennes hians","marine; brackish; reef-associated"
"Abramis brama","freshwater; brackish; benthopelagic"
"Abudefduf vaigiensis","marine; reef-associated"
"Abyssocottus korotneffi","freshwater"
"Acanthobrama marmid","freshwater; brackish"
"Acanthobrama microlepis","freshwater"
"Acanthobrama urmianus","freshwater"
"Acanthochaenus luetkenii","marine; benthopelagic"
"Acanthoclinus littoreus","marine"
"Acanthocobitis mooreh","freshwater"
"Acanthocybium solandri","marine"
"Acanthogobius flavimanus","marine; freshwater; brackish"
"Acanthopagrus arabicus","marine"
"Acanthopagrus australis","marine; brackish"
"Acanthopagrus berda","marine; freshwater; brackish"
"Acanthopagrus bifasciatus","marine; brackish; reef-associated"
"Acanthopagrus butcheri","marine; freshwater; brackish"
"Acanthopagrus latus","marine; freshwater; brackish"
"Acanthopagrus schlegelii","marine; brackish"
"Acanthurus auranticavus","marine; reef-associated"
"Acanthurus bahianus","marine; reef-associated"
"Acanthurus blochii","marine; reef-associated"
"Acanthurus chirurgus","marine; reef-associated"
"Acanthurus coeruleus","marine; reef-associated"
"Acanthurus dussumieri","marine; reef-associated"
"Acanthurus leucosternon","marine; reef-associated"
"Acanthurus lineatus","marine; reef-associated"
"Acanthurus mata","marine; reef-associated"
"Acanthurus nigricans","marine; reef-associated"
"Acanthurus nigricauda","marine; brackish; reef-associated"
"Acanthurus nigrofuscus","marine; reef-associated"
"Acanthurus olivaceus","marine; reef-associated"
"Acanthurus pyroferus","marine; reef-associated"
"Acanthurus triostegus","marine; reef-associated"
"Acanthurus xanthopterus","marine; reef-associated"
"Acestrorhynchus lacustris","freshwater"
"Achirus mazatlanus","marine; freshwater; brackish"
"Achoerodus gouldii","marine; reef-associated"
"Achondrostoma arcasii","freshwater"
"Acipenser baerii","freshwater; brackish"
"Acipenser brevirostrum","marine; freshwater; brackish"
"Acipenser fulvescens","freshwater; brackish"
"Acipenser gueldenstaedtii","marine; freshwater; brackish"
"Acipenser medirostris","marine; freshwater; brackish"
"Acipenser nudiventris","marine; freshwater; brackish"
"Acipenser oxyrinchus","marine; freshwater; brackish"
"Acipenser ruthenus","freshwater; brackish"
"Acipenser schrenckii","marine; freshwater; brackish"
"Acipenser stellatus","marine; freshwater; brackish"
"Acipenser sturio","marine; freshwater; brackish"
"Acipenser transmontanus","marine; freshwater; brackish"
"Acreichthys tomentosus","marine; reef-associated"
"Acyrtops beryllinus","marine"
"Aethotaxis mitopteryx mitopteryx","marine"
"Agamyxis albomaculatus","freshwater"
"Ageneiosus militaris","freshwater"
"Ageneiosus pardalis","freshwater"
"Ageneiosus ucayalensis","freshwater"
"Agonus cataphractus","marine"
"Albatrossia pectoralis","marine"
"Albula glossodonta","brackish; reef-associated"
"Albula vulpes","marine; brackish; reef-associated"
"Alburnoides bipunctatus","freshwater; brackish; benthopelagic"
"Alburnoides eichwaldii","freshwater"
"Alburnoides namaki","freshwater"
"Alburnoides qanati","freshwater; benthopelagic"
"Alburnus alburnus","freshwater; brackish; benthopelagic"
"Alburnus belvica","freshwater"
"Alburnus chalcoides","freshwater; brackish"
"Alburnus mossulensis","freshwater; brackish"
"Aldrichetta forsteri","marine; freshwater; brackish"
"Alectis indica","marine; brackish; reef-associated"
"Alepes djedaba","marine; reef-associated"
"Alepes kleinii","marine"
"Alepes melanoptera","marine; brackish"
"Alepocephalus bairdii","marine"
"Alepocephalus rostratus","marine"
"Alepocephalus tenebrosus","marine"
"Alestes baremoze","freshwater; benthopelagic"
"Alestes dentex","freshwater"
"Alestes macrophthalmus","freshwater"
"Allocareproctus jordani","marine"
"Allocyttus niger","marine"
"Alopias pelagicus","marine"
"Alopias superciliosus","marine"
"Alopias vulpinus","marine"
"Alosa alosa","marine; freshwater; brackish"
"Alosa braschnikowi","brackish"
"Alosa caspia caspia","marine; freshwater; brackish"
"Alosa fallax","marine; freshwater; brackish"
"Alosa immaculata","marine; freshwater; brackish"
"Alosa kessleri","marine; freshwater; brackish"
"Alosa macedonica","freshwater"
"Alosa mediocris","marine; freshwater; brackish"
"Alosa pseudoharengus","marine; freshwater; brackish"
"Alosa sapidissima","marine; freshwater; brackish"
"Alosa saposchnikowii","freshwater; brackish"
"Aluterus monoceros","marine; reef-associated"
"Amatitlania nigrofasciata","freshwater; benthopelagic"
"Ambassis agassizii","freshwater; benthopelagic"
"Ambassis gymnocephalus","marine; freshwater; brackish"
"Ambassis kopsii","marine; freshwater; brackish"
"Ambloplites constellatus","freshwater"
"Amblygaster sirm","marine; reef-associated"
"Amblyopsis rosae","freshwater"
"Amblyopsis spelaea","freshwater"
"Amblypharyngodon melettinus","freshwater"
"Amblyraja radiata","marine; brackish"
"Ameiurus natalis","freshwater"
"Ameiurus nebulosus","freshwater; brackish"
"Amia calva","freshwater"
"Ammodytes americanus","marine; brackish"
"Ammodytes dubius","marine"
"Ammodytes hexapterus","marine; brackish; benthopelagic"
"Ammodytes marinus","marine; brackish; benthopelagic"
"Ammodytes personatus","marine"
"Ammodytes tobianus","marine; brackish"
"Amniataba caudavittata","marine; freshwater; brackish"
"Amphiarius rugispinis","marine; brackish"
"Amphilius jacksonii","freshwater"
"Amphiprion chrysopterus","marine; reef-associated"
"Amphiprion melanopus","marine; reef-associated"
"Amphiprion perideraion","marine; brackish; reef-associated"
"Amphiprion tricinctus","marine; reef-associated"
"Amphistichus argenteus","marine"
"Anabas testudineus","freshwater; brackish"
"Anarhichas denticulatus","marine; benthopelagic"
"Anarhichas lupus","marine"
"Anarhichas minor","marine"
"Anchoa marinii","marine"
"Anchoa mitchilli","marine; freshwater; brackish"
"Anchoa mundeola","marine; brackish"
"Anchoa nasus","marine; brackish"
